Active component type,Active component type formation energy,Active component type density,Active component content (wt percent),Promoter type,Promoter type formation energy,Promoter type density,Promoter content (wt percent),Support a type,Support a type formation energy,Support a type density,Support a content (wt percent),Support b type,Support b type formation energy,Support b type density,Preparation method,Preparation Scalability,Preparation cost,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time (h),Reduced hydrogen content (vol percent),Temperature (C),Pressure (bar),Weight hourly space velocity [mgcat/(min·ml)],Content of inert components in raw materials (vol percent),h2/co2 ratio (mol/mol),co2 conversion ratio (percent),ch4 selectivity (percent),ch4 yield (percent),Reference
Ni,0.046,9.22,5,Co,0.025,9.2,15,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,22.33,69.054,15.42,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,15,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,35.906,68.711,24.671,[1]
Ni,0.046,9.22,20,None,0,0,0,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,2.774,92.17,2.557,[1]
Ni,0.046,9.22,20,None,0,0,0,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,8.108,92.392,7.491,[1]
Ni,0.046,9.22,20,None,0,0,0,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,33.481,95.037,31.819,[1]
Ni,0.046,9.22,20,None,0,0,0,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,66.774,96.47,64.417,[1]
Ni,0.046,9.22,20,None,0,0,0,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,73.077,96.531,70.542,[1]
Ni,0.046,9.22,20,None,0,0,0,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,71.623,94.33,67.562,[1]
Ni,0.046,9.22,20,None,0,0,0,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,68.552,89.384,61.275,[1]
Ni,0.046,9.22,5,None,0,0,0,Al2O3,-3.352,3.87,95,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.329,77.966,1.036,[1]
Ni,0.046,9.22,5,None,0,0,0,Al2O3,-3.352,3.87,95,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,1.502,79.186,1.189,[1]
Ni,0.046,9.22,5,None,0,0,0,Al2O3,-3.352,3.87,95,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,4.101,79.797,3.272,[1]
Ni,0.046,9.22,5,None,0,0,0,Al2O3,-3.352,3.87,95,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,12.072,80.814,9.756,[1]
Ni,0.046,9.22,5,None,0,0,0,Al2O3,-3.352,3.87,95,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,31.827,78.983,25.138,[1]
Ni,0.046,9.22,5,None,0,0,0,Al2O3,-3.352,3.87,95,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,53.314,80.203,42.759,[1]
Ni,0.046,9.22,5,None,0,0,0,Al2O3,-3.352,3.87,95,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,62.498,79.797,49.872,[1]
